undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
0.421,GNB,SubSaharian,961.26001,,8.5,,2.173130035400391,
0.88200003,ESP,WesternDem,31086.35,46.45500183105469,2.400000095367432,3.441691160202026,4.27092981338501,96.4586181640625
0.514,SLB,Pacific,2113.0601,0.5619999766349792,6.300000190734863,,,
0.671,BOL,LatAm,4023.8701,10.07800006866455,6.400000095367432,3.348756313323975,7.285459995269775,76.53546142578125
0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,5.599999904632568,3.336011409759522,5.658730030059815,
0.484,TGO,SubSaharian,1036.28,6.928999900817871,7.300000190734863,,4.868460178375244,
0.69800001,BWA,SubSaharian,12770.73,,5.099999904632568,3.523580312728882,,
0.41800001,ERI,SubSaharian,1007.28,,7.599999904632568,,,28.41555976867676
0.42699999,LBR,SubSaharian,488.26999,,6.599999904632568,3.472222328186035,2.757560014724731,
0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,5.5,4.323356151580811,3.60644006729126,74.57037353515625
,MHL,Pacific,2833.97,0.0540000014007092,,,,64.4613037109375
0.57599998,ZMB,SubSaharian,1916.79,,7.800000190734863,4.328835487365723,,
0.76899999,VEN,LatAm,10513.96,,5.199999809265137,2.640229225158691,,74.78971099853516
0.898,ISR,NorthAfrica,25926.25,8.211999893188477,,3.719112396240234,5.757269859313965,98.39215850830078
0.78399998,ATG,Caribbean,12257.71,,7.300000190734863,,,79.73143768310547
0.76200002,KNA,Caribbean,11237.75,,,,2.784240007400513,82.93193817138672
0.44100001,ETH,SubSaharian,900.77002,88.34700012207031,7.0,3.599251508712769,4.500510215759277,30.27425003051758
0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,5.699999809265137,2.659119129180908,,48.25643920898438
0.70599997,BLZ,Caribbean,6649.1401,0.3499999940395355,6.5,2.651880979537964,6.425839900970459,69.32601165771484
0.75800002,AZE,EastEurope,9793.3096,9.342000007629396,4.300000190734863,3.089141368865967,2.634660005569458,
0.42500001,COD,SubSaharian,324.16,,7.099999904632568,2.957446813583374,2.245349884033203,
